Location,Text
FL,Instead of #DoctorsSpeakUp this should be called when #DoctorIgnorePatients  and #ConflictsofInterests. https://t.co/q6XwYmmi7Z https://t.co/kQc48Ljb3o
,"I’m always surprised to hear and see the people buying organic food, using organic sunscreen, organic cleaners, using aluminum free deodorant etc.-BUT don’t question the chemicals/toxins being injected in their children!
#DoctorsSpeakUp"
,"Vaccines
Shouldn't people question what goes into their body, especially if they have control over it? Plenty of nasty things get in that we have no easy way to avoid, or just can't. #ItsaGoodDayToThinkForYourself
#MedicalFreedom
#DoctorsSpeakUp
#DoctorsSpeakOut"
Washington Heights raised ,"@dfreedman7 Seen any of these:
ADD/ADHD
Allergies
Asthma
Autism
Chronic congestion
Developmental delays
Diabetes
Ear infections
Eczema
Inflammatory bowel disease
Learning disabilities
Obesity
Neuro-developmental issues
Neurological conditions
Seizures
AKA vaccine injuries #DoctorsSpeakUp"
In the trenches for Freedom,"Dogs wear the ‘cone of shame’
Docs wear the ‘mask of lies’
#DoctorsSpeakUp 🤦🏻‍♀️ https://t.co/sYOAn6IGku"
,@CasparKashkin #DoctorsSpeakUp in their own echo chamber!!!
World-wide,"Allow Black mothers to mother, end maternal mortality. #blackmamasmatteralliance #DoctorsSpeakUp #jenniejoseph https://t.co/PknHHnOqDW"
FL,It is a sin when #DoctorsSpeakUp and are ostracized for being patient advocates. What do you expect when big money is the motive? https://t.co/bMCeIH4Cze https://t.co/FQtk2AutTG
"BC, Canada","@CJBerg2 @LuckyGooch @CasparKashkin In reference to #DoctorsSpeakUp, they were paid. If you weren't start knocking on the door for your handout.

Ican vs cdc court case. The only BS is your lack of knowledge on this subject matter.
https://t.co/lxDavCXsrb"
"Influenza City, USA",OMG! I’ve never seen/watched One Tree Hill but this scene 😳😳 #hysterical #sad #crazy #OverTheTop #funny #medtwitter #somedocs #DoctorsSpeakUp #Cardiology #MedEd #FMrevolution @ChristianAssad  @aafp #WomenInMedicine #WomenInSTEM #Transplant #surgery #surgeons @JJcolemanMD https://t.co/xTBQAyy7ih
,"If you dig, it’s there.  We do better DD than the MSM.  Vaccines do cause SIDS, stop living under a rock.  Please read a vaccine insert, it’s all there in black and white. #DoctorsSpeakUp  
https://t.co/GsurNPA3qJ"
"Texas, USA",@Reuters Most patients in USA aren’t getting tested.   See murrieta high school teacher.  Had to close school but I don’t think teacher actually got a test yet.  Had travels to affected country.  Testing kits are the urgent need. #cdc @cnn @foxnewsalert #DoctorsSpeakUp #Covid19usa
New York,"Hard to miss how #DoctorsSpeakUp  #doctorsspeakout are trying their hardest to use #coronavirus and #medtwitter to shame #vaccineinjured into allowing their kids to be #collateraldamage for the fake #greatergood  Here, I fixed your pathetic meme https://t.co/Nia1UuuW2H"
,"CDC Has NO Evidence that HepB, Hib, PCV13 &amp; IPV Do Not cause Autism 
#DoctorsSpeakUp #VaccinesSaveLives #VaccinesWork https://t.co/Grxjbuyzj0"
"Princeton, NJ","@PedsGeekMD Hey #NathanBoonstraMD! #DoctorsSpeakUp is about public education about the #paid vacations #BonusPerVaccine #money #incentives #promotingVaccines #PharmaBribes #MerckSalesman #GlaxoSmithKlineMarketing that #pediatrics like you, are getting rich on by #violating #hippocratic #oath"
,"When will #DoctorsSpeakUp that #vaccines are not #safeandeffective for all? Some people experience negative side effects to medications, while others do not. It's the same with vaccines. Is it really safe for a 7 lb baby to receive the same vaccine/does as a 200 lb man?"
,Why won’t #DoctorsSpeakUp that #vaccines #harm many of their patients?
,"“it is clear theFDAhas not licensed any influenzavaccine as an indicated use for pregnant women,let alone conducted or required any pharmaceuticalcompany to conduct any clinical trial which supports the safety of injecting pregnantwomen with the influenzavaccine.” #DoctorsSpeakUp"
,"The CDC had to get sued bc they wouldn’t respond under FOIA to provide the “safety studies” that vaccines do not cause autism. They had to ADMIT they do NOT have them.  20 studies all on mmr/thimerserol.
Did your #DoctorsSpeakUp about that one? 
https://t.co/mjBAUGKhRu"
In the trenches for Freedom,"Not ‘healthy’ anymore.  
#DoctorsSpeakUp https://t.co/rylgjrbX4k"
"Knoxville, TN",Looks like feelings got hurt by #DoctorsSpeakUp. Guess how my feelings hurt for my vaccine-injured daughter. https://t.co/J3t1t2rN60
"Lancaster, PA",Docs need to be amplifying voices for #VaccinesWork and #VaccinesSaveLives -  #DoctorsSpeakUp is ironically being hijacked by non-physicians to spread misinformation. The #antivaxx folks are louder on the internet than docs ever have been. That is why we are speaking up.
,"Go ahead, tell me that vaccines don’t cause autism! #showmethestudies #DoctorsSpeakUp #TruthMatters https://t.co/wPAe7z1YLf"
"Ashland, Oregon",When will #DoctorsSpeakUp and acknowledge that not a single #vaccine on the current pediatric schedule was tested against inert placebo (ex saline) making it difficult to detect the true rate of adverse events? #vaccines
"Caroga Lake, NY",So are the parents in #FlintWaterCrisis in a cult too when they speak out their truths too or just those harmed by pharmaceutical companies? Are the families speaking out against the #opioidcrisis and the #oxytocin scam considered a cult too? #justasking #DoctorsSpeakUp https://t.co/dyGuzo29rs
"Lancaster, PA","@angelikastalman Hint - it isn’t vaccine preventable diseases, well vaccinated kids aren’t dying at higher rates, the cause is more equitable access to health care. Blind correlations aren’t evidence. #VaccinesWork #DoctorsSpeakUp get your shots,"
"New York, NY",#DoctorsSpeakUp and STOP gaslighting the parents of the children that are injured by #vaccines!! https://t.co/IOEWfH0wSk
New York,Just one of the hundred of reasons #DoctorsSpeakUp #DoctorsSpeakOut #failed #noonebelievesyouanymore #reclaimyourbrain https://t.co/7hySIMPRT9
Chicago ,"Why lie. @realDonaldTrump supporters are just as susceptible to the virus. They will know he lied. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho #Trump2020LandslideVictory #KAG2020 https://t.co/Rv7yHMS8a3"
"Baltimore, MD","Mother of 3  kids, who all have friends with autism, auto immune issues, allergies, learning disabilities. I am watching this generation decline.  #DoctorsSpeakUp!"
Chicago ,"If there was a real government in charge testing its citizens. The number WOULD go up and help  WOULD come faster. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho https://t.co/RjJTUrBvQQ"
,"#DoctorsSpeakUp to give us an insight into the scientific manipulation behind #Tamiflu Knowledge is Power
Influenza,pneumonia 
#Flu #FluShot #Vaccine #Weekend #Pandemic #CoronaVirus #UK #Australia #USA #science 

https://t.co/8Rjy7diRew"
,"#DoctorsSpeakUp to give us an insight into the scientific manipulation behind #Tamiflu Knowledge is Power
Influenza,pneumonia 
#Flu #FluShot #Vaccine #Weekend #Pandemic #CoronaVirus #UK #Australia #USA #science 
https://t.co/x3Oly8dlO8"
Chicago ,"All the @GOP members are horrible people. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho # https://t.co/PKRcDDd8Z0"
Chicago ,"If you believe trump, I have some moon rocks to sell you. @realDonaldTrump is selling the USA BS. 

#GOPVotingBlue 

#GOPBetrayedAmerica 

#coronavirus  #impeachbarr #Resistance #VoteBlue2020 
#Resist #DoctorsSpeakUp #VoteBlueNoMatterWho #KAG2020 #Trump2020LandslideVictory https://t.co/d8B3uT9MYH"
"Influenza City, USA","Hi, I’m a Family Physician working in University student health.
You may know me from my recent hits “It’s Mono or Chlamydia, until proven otherwise.”
Oh and my chart-topping single “yes, THAT is herpes.” 
#somedocs #medtwitter #DoctorsSpeakUp #WomenInMedicine #WomenInSTEM https://t.co/WZC3gQ4xI0"
In the trenches for Freedom,"#HighWire @HighWireTalk @delbigtree #ICAN for the win
 https://t.co/e9QIIV5vZj
Real #DoctorsSpeakUp"
"Manhattan, NY",#DoctorsSpeakUp and we the citizens wish the murderous atheists would shut up ! https://t.co/mwBg0qqKWS
Some where out there🙋,"@Kat7597 @LotusOak2 When media has reported we high jacked the # we know we are changing public opinion on the dangers of vaccines one mind at a time. 
#DoctorsSpeakUp 
#NursesSpeakUp 
#ParentsSpeakUp"
"Influenza City, USA","Patients, NOT clients! #respect #DoctorsSpeakUp #medtwitter #SoMeDocs #WomenInMedicine #WomenInSTEM https://t.co/eop4uxquWL"
,"#DoctorsSpeakUp
No one can say #vaccines do not cause #autism anymore for that is a false and dangerous statement. 
https://t.co/2UHi1LWlTp"
"Asheville, NC","Hey, wash your hands.

And vaccinate you humans. 
#medtwitter #sciencetwitter #DoctorsSpeakUp #NursesSpeakUp #COVID19 #TheFlu"
"Influenza City, USA","Please get your FLU vaccine!
It’s not too late. #VaccinesWork #VaccinesSaveLives #SoMeDocs #DoctorsSpeakUp #Doctors #vaccinated #medtwitter #WomenInMedicine #WomensHistoryMonth #WomenInScience #WomenInSTEM https://t.co/73DDY0M31R https://t.co/4qxOgf0kRS"
"Influenza City, USA","@anish_koka @silverdalepeds Sad and scary. 
Hopefully physicians uniting on social media can help spread the word. STOP independent practice of NP non-physicians. #physicians  #DoctorsSpeakUp #DoctorNOTprovider #medtwitter #somedocs #DoctorsSpeakOut #Doctors"
,When will #DoctorsSpeakUp https://t.co/wR4RfVG4Xc
,"@gbriddick @sftydc @thereal_truther #doctorsspeakup after you read the results of this winning lawsuit by ICAN:

https://t.co/yh81SyY8PE"
Far away ,"Durr but we the people, parents knew this 1in35 and still riaingt
The greatest lie ever told
#VaccinesWork NOT! When will
#DoctorsSpeakUp #DoctorWho #DoctorsSpeakOut 

@realDonaldTrump https://t.co/Vmivzxe0qT"
,The only scientific evidence that #VaccinesWork is whatever single measure of antibody production was used for a trial. The immune system and microbes both are far more complicated than that. Doctors are mad because ex-vaxxers exposed their stupidity. #DoctorsSpeakUp
Far away ,"But roll up your sleeves they are safe &amp; effective
When will #DoctorsSpeakOut #DoctorsSpeakUp #DoctorWho ?@realDonaldTrump 
 #vaccines https://t.co/u4QFXyK7oY"
L.A. ,"There once was a Dr. Trump 
Who pulled misleading facts from his rump.
He called governors snakes,
Giving false updates
Spreading lies like a virus as he stumped.
#TrumpVirus #TrumpIsAnIdiot #coronavirus #DoctorsSpeakUp #CoronavirusUSA #PoliticalLimericks https://t.co/rYfEPcOwtN"
,"Ask me again how vaccines can be mandated when SIDS is clearly listed as a side effect!!!!!#believemothers 
#DoctorsSpeakUp https://t.co/RvkHWsiCvb"
Far away ,"The greatest lie ever told ans you sheep 🐑 listen to your dictatorship #doctorwhoَ when will #DoctorsSpeakUp &amp; #DoctorsSpeakOut ?
#VACCINEINJURIEAREREAL #vaccinecoverup #lies @realDonaldTrump https://t.co/a5tWSTN8TD"
,@GavinNewsom So living a healthy life. Clean life. Washing hands regularly can help spread disease and infection for something there is no #vaccine for right?  So same goes for the flu and measles and so on for all those kids you kicked out of school?  #DoctorsSpeakUp #VaccinesHarm
,"@sftydc India saw 47,500 new cases of AFP, AFM after the Bill and Melinda gates polio eradication vaccination drive. Vaccines paralyzed those previously healthy children after only 1 case of the wild strain polio annually in the past 10 years. Vaccines caused the damage #DoctorsSpeakUp"
United States,@AlastairMcA30 @BretWeinstein Where is your study that shows the fully vaccinated vs the unvaccinated with an inert placebo (saline) are safe for children? THERE IS NONE. #DoctorsSpeakUp
"Lancaster, OH","#Coronavirus #Testingkits 
Needed now!!!!!
Every single person who's been in contact with the virus, or has traveled overseas needs tested.
Especially our #nurses and Doctors.
#DoctorsSpeakUp 
#NursesSpeakUp 
Trump blew it; he put his beloved stock market ahead of our health!"
,Lolololololol exploitation of deaths. Good one Nat.🙈 That's all doctors do is exploit deaths plus they get the media to do it for them. #hypocrisy #DoctorsSpeakUp https://t.co/L2JU1dkJXX
,"I bet he's never seen a child develop an encephalopathy &amp; regress in development &amp; fall chronically ill &amp; then diagnosed with invisible ""autism"" post vax. We have anecdotes too. #DoctorsSpeakUp https://t.co/kNEO6bya4b"
,"I see a lot of doctors getting arrested for being sexual predators, human traffickers, porn etc... I guess that means ALL DOCTORS approve &amp; are exactly the same. 🤷‍♀️ #hypocrisy #DoctorsSpeakUp https://t.co/RhdQfM6utg"
,"We ARE the champions! In the greatest sense! 

Champions for children, champions for adults, champions for what is true, and champions for life and health! 

#DoctorsSpeakUp https://t.co/QAzngL9RrT"
"Pittsburgh, PA",@vaccinateplz @j_lindenberger Thx! #DoctorsSpeakUp that #VaccinesWork and #VaccinesSaveLives
"Central GA, USA",@ElijahBunch5 @DrGRuralMD Dr G. Do you warn your patients that some boys died from the shot? Others experience severe reactions? #DoctorsSpeakUp means full informed consent. Or are you more interested in compliance and $$$?
,1 size DOES NOT fit all. #DoctorsSpeakUp https://t.co/kSz3twhsyZ
Some where out there🙋,"#DoctorsSpeakUp   Anyone know any good civil rights attorneys???  We need to have a list of them on hand.  This is what this ""Pandemic"" is all about -forced vaccinations for Big Pharma -so they can reap loads of our gov cash by injecting us with poisons. Don't be meek lil sheep! https://t.co/jg3mJ2Bgk1"
,"@Staci04907284 @BeckyJohnson222 Yes, I don't have the modern diagnostic equipment to tell me when my child can't breathe so I'll keep feeding him PB, I knew I should have not let my spouse eat PB during pregnancy!. #DoctorsSpeakOut #DoctorsSpeakUp #SaturdayThoughts #SaturdayMorning"
,"#DoctorsSpeakUp  if anyone still has doubts on vax please read. This is our children, the next generation. https://t.co/FAcQOpZ9gG"
United States,"@Charbrevolution I have one for you, though: why do hundreds of millions of ppl not die from #measles, smallpox, diphtheria, tetanus and polio every year?
I’ll answer for you:
Because #VaccinesWork 
#VaccinesSaveLives #DoctorsSpeakUp #VaccinateYourKids"
"Central GA, USA",Moms warn parents because they care.  #DoctorsSpeakUp but follow pharma playbook. https://t.co/0aYTFpZjH0
,And everyone sat by and said nothing ...................... #DoctorsSpeakUp @berniesanders @JordanChariton @dailykos @cnn #saturdayMorning #SaturdayThoughts https://t.co/NDGZfiFox3
